Дата записи;Наименование операции;Наименование обязательства;КБК;ОКТМО;Код налогового органа;Статус НП;Дата исполнения УФК;Срок уплаты / Дата операции;Сумма операции;Основание;Отчетный год;Отчетный период;Признак сторно
2025-03-07;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2024-01-09;-3573,11;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-03-07;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2024-12-03;-11644,54;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-03-07;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2024-12-03;-13414,5;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-07-01;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-06-24;-13414,5;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №130666 от 30.06.2025;;;
2025-03-07;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков с дохода свыше 300 тыс.р.;18210203000010000160;08701000;2700;13;;2024-01-09;+3573,11;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-03-07;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков с дохода свыше 300 тыс.р.;18210203000010000160;08701000;2700;13;;2024-12-03;+11644,54;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-12-08;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-03-04;-24069,15;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №179516 от 08.12.2025;;;
2025-12-08;Зачтено в счет предстоящей обязанности;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2024-12-03;-2759,85;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №179516 от 08.12.2025;;;
2025-12-08;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2025-03-04;+24069,15;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №179516 от 08.12.2025;;;
2025-12-08;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2024-12-03;+2759,85;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №179516 от 08.12.2025;;;
2025-03-07;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2024-12-03;+13414,5;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №50853 от 07.03.2025;;;
2025-07-01;Поступило из Единого налогового платежа в счет предстоящей обязанности по уплате налогов;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2025-06-24;+13414,5;Заявление  о распоряжении суммой денежных средств, формирующих положительное сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов и (или) налогового агента, путем зачета №130666 от 30.06.2025;;;
2025-12-29;Начислено по расчету ;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2025-12-29;-53658;Иные документы №VO_SVREGF000000000000000000138361133 от 29.12.2025;2025;год;
2025-08-24;Зачет переплаты из ЕНП в КНО по налогу;Налог на имущество физических лиц;18210601020040000110;08701000;2700;13;;2025-08-24;+3183;Иные документы №32968195280-1 от 24.08.2025;;;
2025-08-24;Зачет переплаты из ЕНП в КНО по налогу;Транспортный налог;18210604012020000110;08701000;2700;13;;2025-08-24;+1380;Иные документы №32968195277-1 от 24.08.2025;;;
2025-12-01;Начислено по расчету ;Транспортный налог;18210604012020000110;08701000;2700;13;;2025-12-01;-1380;Налоговое уведомление №2024ГД01 от 26.04.2025;2024;год;
2025-12-01;Начислено по расчету ;Налог на имущество физических лиц;18210601020040000110;08701000;2700;13;;2025-12-01;-3183;Налоговое уведомление №2024ГД01 от 12.05.2025;2024;год;
2025-01-10;Уменьшено по расчету;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-01-09;+49679;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700230014792 от 22.12.2023;2024;год;
2025-04-02;Уменьшено по расчету;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-04-01;+36435;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700240015910 от 18.12.2024;2025;год;
2025-01-10;Начислено по расчету ;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-01-09;-67210;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700230014792 от 22.12.2023;2024;год;
2025-01-10;Начислено по расчету ;Страховые взносы отдельных категорий плательщиков в совокупном фиксированном размере;18210202000010000160;08701000;2700;13;;2025-01-09;-49500;Иные документы №VO_SVREGF000000000000000000124992802 от 09.01.2025;2024;год;
2025-07-02;Начислено по расчету ;Страховые взносы отдельных категорий плательщиков с дохода свыше 300 тыс.р.;18210203000010000160;08701000;2700;13;;2025-07-01;-13826,31;Иные документы №VO_SVREGF000000000000000000135441875 от 01.07.2025;2024;год;
2025-12-29;Начислено по расчету ;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-12-29;-72871;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700240015910 от 18.12.2024;2025;год;
2025-12-29;Уменьшено по расчету;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-12-29;+32440;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700240015910 от 18.12.2024;2025;год;
2025-03-04;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-03-04;+15217,65;Платежное поручение №40 от 04.03.2025;;;
2025-03-04;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-03-04;+13414,5;Платежное поручение №39 от 04.03.2025;;;
2025-06-25;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-06-24;+13414,5;Платежное поручение №062669 от 24.06.2025;;;
2025-12-01;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-12-01;+3995,35;Платежное поручение №621038 от 01.12.2025;;;
2025-12-05;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-12-05;+26829;Платежное поручение №924583 от 05.12.2025;;;
2025-12-22;Уплата;Единый налоговый платеж;18201061201010000510;08701000;2700;13;;2025-12-22;+40430,35;Платежное поручение №805040 от 22.12.2025;;;
2025-04-02;Начислено по расчету ;Налог ПСН (патент);18210504010020000110;08701000;2700;13;;2025-04-01;-36435;Патент на право применения патентной системы налогообложения (форма N 26.5-П) №2700240015910 от 18.12.2024;2025;;
